NAME_2,STATE_NA_1,Land resource area,Pasture_grassland_mean_npp(gC/m2/yr),Grassland/Pasture NPP percetage of LRRs,HANPP_grazing(gC/m2/yr)Site_speific,Grassland/Pasture area_Acres,Grassland/Pasture area_m2,HANPP_grazing_Tonnes(Site specific),County_Area_m2,HANPP_grazing_gC/m2/yr(County),HANPP_grazing_Tonnes(County)
Coffee,Georgia,"Atlantic , gulf coast lowland",666.873299,9.68,64.55333534,5998.4,24274685.02,1567.011883,1560189952,1.0043725,1567.011883
Clinch,Georgia,"Atlantic , gulf coast lowland",308.786143,9.68,29.89049864,24989.4,101128603.3,3022.784379,2134889984,1.415897026,3022.784379
Charlton,Georgia,"Atlantic , gulf coast lowland",360.733677,9.68,34.91901993,28312.2,114575509.7,4000.864507,2030560000,1.970325677,4000.864507
Echols,Georgia,"Atlantic , gulf coast lowland",357.201209,9.68,34.57707703,11438,46287984.68,1600.503212,1090279936,1.467974562,1600.503212
Effingham,Georgia,"Atlantic , gulf coast lowland",600.424193,9.68,58.12106188,9144.9,37008130.01,2150.951815,1251100032,1.719248469,2150.951815
Glynn,Georgia,"Atlantic , gulf coast lowland",532.747338,9.68,51.56994232,5893.9,23851788.15,1230.035339,1205629952,1.020242851,1230.035339
Lanier,Georgia,"Atlantic , gulf coast lowland",684.969767,9.68,66.30507345,1618.8,6551056.968,434.3683134,517084992,0.840032722,434.3683134
Long,Georgia,"Atlantic , gulf coast lowland",475.957233,9.68,46.07266015,13832.3,55977381.58,2579.026878,1046200000,2.465137524,2579.026878
Liberty,Georgia,"Atlantic , gulf coast lowland",464.10137,9.68,44.92501262,6132.8,24818583.01,1114.975155,1402119936,0.795206691,1114.975155
McIntosh,Georgia,"Atlantic , gulf coast lowland",483.551339,9.68,46.80776962,4629.4,18734533.68,876.9217365,1243970048,0.704937983,876.9217365
Pierce,Georgia,"Atlantic , gulf coast lowland",602.503143,9.68,58.32230424,8875.1,35916287.19,2094.720629,889148032,2.355873885,2094.720629
Ware,Georgia,"Atlantic , gulf coast lowland",429.154375,9.68,41.5421435,13717.5,55512802.05,2306.120789,2348029952,0.982151351,2306.120789
Wayne,Georgia,"Atlantic , gulf coast lowland",541.434451,9.68,52.41085486,20552.2,83171876.09,4359.109126,1680169984,2.594445305,4359.109126
,,,,,,,,,,,
Douglas,Illinois,C feed grains,836.880433,7.26,60.75751944,7553.4,30567552.32,1857.208654,1080659968,1.718587446,1857.208654
Cook,Illinois,C feed grains,590.1481,7.26,42.84475206,7853.4,31781610.32,1361.675214,2481580032,0.548712996,1361.675214
Will,Illinois,C feed grains,684.57,7.26,49.699782,46783.6,189326679.5,9409.494698,2199960064,4.277120686,9409.494698
Saint Clair,Illinois,C feed grains,682.1878,7.26,49.52683428,25698.1,103996613,5150.623016,1745680000,2.950496664,5150.623016
Madison,Illinois,C feed grains,669.66,7.26,48.617316,28815.7,116613103.7,5669.416112,1917799936,2.956208312,5669.416112
Sangamon,Illinois,C feed grains,756.7464,7.26,54.93978864,33432.6,135297051.6,7433.19142,2271300096,3.272659317,7433.19142
Rockisland,Illinois,C feed grains,698.169,7.26,50.6870694,26236.8,106176656.4,5381.783554,1168409984,4.606074604,5381.783554
La Salle,Illinois,C feed grains,731.568,7.26,53.1118368,29678.3,120103925.1,6378.940071,2973669888,2.145140621,6378.940071
De Kalb,Illinois,C feed grains,739.1322,7.26,53.66099772,12219.5,49450605.77,2653.568843,1643849984,1.614240271,2653.568843
Hardin,Illinois,C feed grains,579.429061,7.26,42.06654983,12093.8,48941915.47,2058.817526,470265984,4.377985216,2058.817526
Moultrie,Illinois,C feed grains,816.32465,7.26,59.26516959,7698.9,31156370.45,1846.487579,892601984,2.068657265,1846.487579
Perry,Illinois,C feed grains,621.702339,7.26,45.13558981,39262.7,158890650.1,7171.623209,1157629952,6.195091269,7171.623209
Fayette,Illinois,C feed grains,652.45129,7.26,47.36796365,29176,118071187.4,5592.791711,1878720000,2.976916045,5592.791711
Pulaski,Illinois,C feed grains,616.316569,7.26,44.74458291,13331.7,53951523.46,2414.038415,526512992,4.584955075,2414.038415
Pope,Illinois,C feed grains,575.392928,7.26,41.77352657,26149.8,105824579.6,4420.665889,970454016,4.555255392,4420.665889
Randolph,Illinois,C feed grains,536.848702,7.26,38.97521577,42086.6,170318578.1,6638.203329,1546919936,4.29123911,6638.203329
Union,Illinois,C feed grains,497.9026,7.26,36.14772876,39554,160069500.4,5786.148885,1093520000,5.291305952,5786.148885
Adams,Illinois,C feed grains,626.48368,7.26,45.48271517,61462.5,248730132.8,11312.92178,2257189888,5.011949523,11312.92178
Alexander,Illinois,C feed grains,767.895526,7.26,55.74921519,4562.9,18465417.49,1029.432533,654337984,1.573242817,1029.432533
Bond,Illinois,C feed grains,636.237899,7.26,46.19087147,16324.7,66063775.44,3051.54336,991360000,3.078138477,3051.54336
Brown,Illinois,C feed grains,658.572296,7.26,47.81234869,19881.4,80457242.4,3846.849728,795667008,4.834748318,3846.849728
Bureau,Illinois,C feed grains,818.43974,7.26,59.41872512,19521.6,79001182.18,4694.149528,2262550016,2.074716358,4694.149528
Calhoun,Illinois,C feed grains,606.430227,7.26,44.02683448,12690.5,51356676.83,2261.07191,734564992,3.078110085,2261.07191
Carroll,Illinois,C feed grains,610.936673,7.26,44.35400246,28036.2,113458576.3,5032.341974,1208390016,4.16450145,5032.341974
Cass,Illinois,C feed grains,766.23065,7.26,55.62834519,14557.7,58912973.82,3277.231244,993884992,3.29739484,3277.231244
Champaign,Illinois,C feed grains,877.450512,7.26,63.70290717,15433.5,62457213.81,3978.706094,2585799936,1.538675146,3978.706094
Christian,Illinois,C feed grains,815.006112,7.26,59.16944373,17212.7,69657387.12,4121.588848,1853469952,2.223714953,4121.588848
Clark,Illinois,C feed grains,850.771599,7.26,61.76601809,14203.5,57479576.01,3550.284531,1307779968,2.714741484,3550.284531
Clay,Illinois,C feed grains,764.138524,7.26,55.47645684,22980,92996842.8,5159.135336,1216099968,4.242361214,5159.135336
Clinton,Illinois,C feed grains,709.016227,7.26,51.47457808,15594.8,63109972.33,3248.559198,1303559936,2.492067383,3248.559198
Coles,Illinois,C feed grains,798.098105,7.26,57.94192242,13622.3,55127540.98,3194.195703,1321010048,2.417995009,3194.195703
Crawford,Illinois,C feed grains,871.457461,7.26,63.26781167,13266.1,53686049.45,3396.598866,1153859968,2.943683774,3396.598866
Cumberland,Illinois,C feed grains,861.845608,7.26,62.56999114,13935.2,56393803.47,3528.559784,898763008,3.926018041,3528.559784
De Witt,Illinois,C feed grains,739.132208,7.26,53.6609983,11628.6,47059316.2,2525.249886,1049030016,2.407223671,2525.249886
DuPage,Illinois,C feed grains,524.379562,7.26,38.0699562,6702.8,27125293.21,1032.658724,871075008,1.185499199,1032.658724
Edgar,Illinois,C feed grains,758.184542,7.26,55.04419775,12674.3,51291117.7,2823.278425,1616029952,1.747045853,2823.278425
Edwards,Illinois,C feed grains,639.160472,7.26,46.40305027,12821.5,51886815.49,2407.706507,576876992,4.173691343,2407.706507
Effingham,Illinois,C feed grains,723.283791,7.26,52.51040323,19318.5,78179264.91,4105.224724,1243209984,3.302116921,4105.224724
Ford,Illinois,C feed grains,896.15929,7.26,65.06116445,7450.9,30152749.17,1961.772973,1259299968,1.557828176,1961.772973
Franklin,Illinois,C feed grains,609.039326,7.26,44.21625507,33431.5,135292600.1,5982.132114,1117379968,5.353713406,5982.132114
Fulton,Illinois,C feed grains,681.068109,7.26,49.44554471,4631.5,18743032.09,926.7594313,2285839872,0.405434975,926.7594313
Gallatin,Illinois,C feed grains,782.622622,7.26,56.81840236,6615.6,26772407.02,1521.165394,849910016,1.78979582,1521.165394
Greene,Illinois,C feed grains,723.169521,7.26,52.50210722,23624.3,95604234.7,5019.423781,1414659968,3.548148597,5019.423781
Grundy,Illinois,C feed grains,690.879101,7.26,50.15782273,12983.6,52542811.5,2635.433025,1114840064,2.363956149,2635.433025
Hamilton,Illinois,C feed grains,643.696665,7.26,46.73237788,31401,127075450.9,5938.537989,1128899968,5.260464308,5938.537989
Hancock,Illinois,C feed grains,646.746252,7.26,46.9537779,50959.1,206224343.4,9683.012018,2108889984,4.591520701,9683.012018
Henderson,Illinois,C feed grains,722.848038,7.26,52.47876756,17182.2,69533957.89,3649.056414,1023960000,3.56367086,3649.056414
Henry,Illinois,C feed grains,753.426255,7.26,54.69874611,28174.1,114016638.3,6236.567152,2138540032,2.916273279,6236.567152
Iroquois,Illinois,C feed grains,870.967421,7.26,63.23223476,16744.8,67763861.33,4284.860388,2897669888,1.478726202,4284.860388
Jackson,Illinois,C feed grains,559.324675,7.26,40.60697141,37442.1,151522936.8,6152.887562,1560290048,3.9434255,6152.887562
Jasper,Illinois,C feed grains,847.435027,7.26,61.52378296,19261.2,77947379.83,4795.617679,1290179968,3.717014524,4795.617679
Jefferson,Illinois,C feed grains,591.855029,7.26,42.96867511,57206.4,231506291.9,9947.518642,1511810048,6.579873348,9947.518642
Jersey,Illinois,C feed grains,700.901953,7.26,50.88548179,14609.3,59121791.8,3008.44086,976774976,3.079973314,3008.44086
Jo Daviess,Illinois,C feed grains,634.349357,7.26,46.05376332,96355.8,389938432.8,17958.13229,1601750016,11.21156992,17958.13229
Johnson,Illinois,C feed grains,519.196325,7.26,37.6936532,40153.4,162495188.3,6125.037275,903460992,6.779525988,6125.037275
Kankakee,Illinois,C feed grains,783.019604,7.26,56.84722325,17779.8,71952361.43,4090.291953,1764460032,2.318155061,4090.291953
Kendall,Illinois,C feed grains,754.923784,7.26,54.80746672,10594.4,42874053.58,2349.818265,834580992,2.815566479,2349.818265
Knox,Illinois,C feed grains,704.029052,7.26,51.11250918,53754.8,217538149.9,11118.92068,1864460032,5.963614394,11118.92068
Lake,Illinois,C feed grains,731.568768,7.26,53.11189256,29491.5,119347971.7,6338.796649,1219219968,5.199059083,6338.796649
Lawrence,Illinois,C feed grains,840.08816,7.26,60.99040042,22064.9,89293561.21,5446.050053,969440000,5.617727815,5446.050053
Lee,Illinois,C feed grains,816.579492,7.26,59.28367112,26459.6,107078296.9,6347.994535,1887890048,3.362481063,6347.994535
Livingston,Illinois,C feed grains,855.552909,7.26,62.11314119,29716.8,120259729.2,7469.709543,2709100032,2.757266049,7469.709543
Logan,Illinois,C feed grains,832.420649,7.26,60.43373912,22221.2,89926085.43,5434.569587,1603110016,3.390016613,5434.569587
McDonough,Illinois,C feed grains,667.082563,7.26,48.43019407,44895.5,181685803.1,8799.078706,1528509952,5.756638152,8799.078706
McLean,Illinois,C feed grains,779.209814,7.26,56.5706325,40998.7,165915999.1,9385.973009,3072470016,3.054862362,9385.973009
Macon,Illinois,C feed grains,794.805552,7.26,57.70288308,17937.5,72590551.25,4188.684091,1517369984,2.76048962,4188.684091
Macoupin,Illinois,C feed grains,734.174037,7.26,53.30103509,52849.6,213874932.3,11399.75527,2247069952,5.073164393,11399.75527
Madison,Illinois,C feed grains,669.660242,7.26,48.61733357,55495.9,224584137.9,10918.68195,1917799936,5.693337319,10918.68195
Marion,Illinois,C feed grains,593.721274,7.26,43.10416449,68786.2,278368121.3,11998.82529,1492019968,8.042000475,11998.82529
Marshall,Illinois,C feed grains,689.60978,7.26,50.06567003,18209.2,73690083.11,3689.343385,1032190016,3.574287029,3689.343385
Mason,Illinois,C feed grains,786.923245,7.26,57.13062759,21089.9,85347872.71,4875.977531,1459340032,3.34122098,4875.977531
Massac,Illinois,C feed grains,599.662514,7.26,43.53549852,40543.4,164073463.7,7143.020037,626905984,11.39408495,7143.020037
Menard,Illinois,C feed grains,724.854784,7.26,52.62445732,21413.7,86658245.98,4560.343167,817251008,5.580101,4560.343167
