State,States,COUNTY,County,Species_Group,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Growing_Stock,Non_growing_Stock,All_Sources,Hardwood_Density_lb_ft3,Df,CC,Percentshoot,HANPP_lb_C_perthousand_cubicfeet,TotalHANPP_Harvest_in_Tonnes,HANPP_harvest_used_in_Tonnes,HANPP_Harvest_unused_in_Tonnes,HANPP_Harvest_above_ground_in_Tonnes,HANPP_Harvest_below_ground_in_Tonnes,Stcnty
AR 2007,ARKANSAS,GARLAND,Garland,Hardwood,"1,533",60,"1,593",411,588,999,541,162,703,"2,484",811,"3,295",43,0.78,0.45,0.8,18866,28198,13632,14565,22558,5640,ARKANSAS_GARLAND
AR 2007,ARKANSAS,GRANT,Grant,Hardwood,"2,295",94,"2,389",615,882,"1,497",812,242,"1,054","3,722","1,218","4,940",43,0.78,0.45,0.8,18866,42275,20444,21831,33820,8455,ARKANSAS_GRANT
AR 2007,ARKANSAS,GREENE,Greene,Hardwood,414,15,429,111,158,269,146,43,189,670,217,887,43,0.78,0.45,0.8,18866,7591,3671,3919,6073,1518,ARKANSAS_GREENE
AR 2007,ARKANSAS,HEMPSTEAD,Hempstead,Hardwood,"3,742",265,"4,007","1,032","1,480","2,512","1,362",406,"1,768","6,136","2,151","8,287",43,0.78,0.45,0.8,18866,70918,34291,36627,56734,14184,ARKANSAS_HEMPSTEAD
AR 2007,ARKANSAS,HOT SPRING,Hot Spring,Hardwood,"1,837",78,"1,915",493,707,"1,200",651,194,845,"2,981",979,"3,960",43,0.78,0.45,0.8,18866,33889,16388,17501,27111,6778,ARKANSAS_HOT SPRING
AR 2007,ARKANSAS,HOWARD,Howard,Hardwood,"2,769",148,"2,917",751,"1,077","1,828",991,296,"1,287","4,512","1,520","6,032",43,0.78,0.45,0.8,18866,51620,24963,26657,41296,10324,ARKANSAS_HOWARD
AR 2007,ARKANSAS,INDEPENDENCE,Independence,Hardwood,"4,653",273,"4,926","1,269","1,819","3,088","1,673",500,"2,173","7,596","2,591","10,187",43,0.78,0.45,0.8,18866,87178,42155,45022,69742,17436,ARKANSAS_INDEPENDENCE
AR 2007,ARKANSAS,IZARD,Izard,Hardwood,"1,506",48,"1,554",400,574,974,528,157,685,"2,434",779,"3,213",43,0.78,0.45,0.8,18866,27496,13299,14197,21997,5499,ARKANSAS_IZARD
AR 2007,ARKANSAS,JACKSON,Jackson,Hardwood,"1,316",43,"1,359",350,502,852,461,138,599,"2,128",682,"2,810",43,0.78,0.45,0.8,18866,24047,11630,12417,19238,4809,ARKANSAS_JACKSON
AR 2007,ARKANSAS,JEFFERSON,Jefferson,Hardwood,"1,719",72,"1,791",461,661,"1,122",608,182,790,"2,789",914,"3,703",43,0.78,0.45,0.8,18866,31689,15327,16362,25351,6338,ARKANSAS_JEFFERSON
AR 2007,ARKANSAS,JOHNSON,Johnson,Hardwood,"2,032",118,"2,150",554,793,"1,347",730,218,948,"3,316","1,129","4,445",43,0.78,0.45,0.8,18866,38039,18399,19640,30431,7608,ARKANSAS_JOHNSON
AR 2007,ARKANSAS,LAFAYETTE,Lafayette,Hardwood,"2,353",144,"2,497",643,922,"1,565",849,253,"1,102","3,845","1,319","5,164",43,0.78,0.45,0.8,18866,44192,21369,22823,35354,8838,ARKANSAS_LAFAYETTE
AR 2007,ARKANSAS,LAWRENCE,Lawrence,Hardwood,"1,353",43,"1,396",360,515,875,474,142,616,"2,187",700,"2,887",43,0.78,0.45,0.8,18866,24706,11947,12760,19765,4941,ARKANSAS_LAWRENCE
AR 2007,ARKANSAS,LEE,Lee,Hardwood,"2,449",106,"2,555",658,944,"1,602",868,259,"1,127","3,975","1,309","5,284",43,0.78,0.45,0.8,18866,45219,21865,23354,36175,9044,ARKANSAS_LEE
AR 2007,ARKANSAS,LINCOLN,Lincoln,Hardwood,"2,185",146,"2,331",600,861,"1,461",792,236,"1,028","3,577","1,243","4,820",43,0.78,0.45,0.8,18866,41248,19948,21300,32999,8250,ARKANSAS_LINCOLN
